coingecko_id,token_address,decimals
dent,0x3597bfd533a99c9aa083587b074434e61eb0a258,8
alethea-artificial-liquid-intelligence-token,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181,18
coti,0xddb3422497e61e13543bea06989c0789117555c5,18
ankreth,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,18
republic-protocol,0x408e41876cccdc0f92210600ef50372656052a38,18
cocos-bcx,0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c,18
dexe,0xde4ee8057785a7e8e800db58f9784845a5c2cbd6,18
ethos,0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d,8
apenft,0x198d14f2ad9ce69e76ea330b374de4957c3f850a,6
orbs,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,18
perpetual-protocol,0xbc396689893d065f41bc2c6ecbee5e0085233447,18
mute,0xa49d7499271ae71cd8ab9ac515e6694c755d400c,18
