date,block_number,token_address,token_name,token_decimals,token_balance
2021-10-08,13381270,ether,ethereum,18,291500.28496524633
2021-10-09,13387619,ether,ethereum,18,302402.3158995488
2021-10-10,13393994,ether,ethereum,18,299413.5517369919
2021-10-11,13400376,ether,ethereum,18,300738.1287809478
2021-10-12,13406729,ether,ethereum,18,308271.316527391
2021-10-13,13413049,ether,ethereum,18,305849.17941552325
2021-10-14,13419379,ether,ethereum,18,307290.6670642399
2021-10-15,13425697,ether,ethereum,18,303828.49383244646
2021-10-16,13432143,ether,ethereum,18,304024.4516474048
2021-10-17,13438528,ether,ethereum,18,305172.08859635773
2021-10-18,13444844,ether,ethereum,18,305854.86224157206
2021-10-19,13451284,ether,ethereum,18,305106.2225672358
2021-10-20,13457638,ether,ethereum,18,306705.25891082326
2021-10-21,13464125,ether,ethereum,18,314909.95792471623
2021-10-22,13470536,ether,ethereum,18,315953.4229891104
2021-10-23,13476884,ether,ethereum,18,319686.74167224707
2021-10-24,13483243,ether,ethereum,18,322992.25501864636
2021-10-25,13489661,ether,ethereum,18,324205.12772762385
2021-10-26,13496075,ether,ethereum,18,324824.5670951694
2021-10-27,13502420,ether,ethereum,18,326310.68335871317
2021-10-28,13508828,ether,ethereum,18,327549.2970710711
2021-10-29,13515196,ether,ethereum,18,328067.1411004555
2021-10-30,13521541,ether,ethereum,18,328727.6535066767
2021-10-31,13527858,ether,ethereum,18,342030.6379843531
2021-11-01,13534281,ether,ethereum,18,342017.37497155607
2021-11-02,13540589,ether,ethereum,18,342125.5397955553
2021-11-03,13546974,ether,ethereum,18,342745.06842094415
2021-11-04,13553256,ether,ethereum,18,345581.96099348454
2021-11-05,13559702,ether,ethereum,18,346124.77329352946
2021-11-06,13566041,ether,ethereum,18,333926.5247516315
2021-11-07,13572493,ether,ethereum,18,333917.44277150405
2021-11-08,13578839,ether,ethereum,18,332710.86844652024
2021-11-09,13585211,ether,ethereum,18,325756.83949521254
2021-11-10,13591593,ether,ethereum,18,327259.6113688455
2021-11-11,13597966,ether,ethereum,18,328692.560567134
2021-11-12,13604387,ether,ethereum,18,329264.78738172224
2021-11-13,13610713,ether,ethereum,18,329419.86675983085
2021-11-14,13617058,ether,ethereum,18,329570.437425562
2021-11-15,13623377,ether,ethereum,18,326469.69840413064
2021-11-16,13629631,ether,ethereum,18,326954.2169169224
2021-11-17,13636021,ether,ethereum,18,326371.31493054936
2021-11-18,13642393,ether,ethereum,18,326003.4222267646
2021-11-19,13648625,ether,ethereum,18,327032.2730929487
2021-11-20,13654920,ether,ethereum,18,328384.5471137981
2021-11-21,13661207,ether,ethereum,18,330699.74560425954
2021-11-22,13667574,ether,ethereum,18,330684.52915286005
2021-11-23,13673913,ether,ethereum,18,331976.1931199063
2021-11-24,13680217,ether,ethereum,18,329489.04553539184
2021-11-25,13686520,ether,ethereum,18,330636.5288755505
2021-11-26,13692738,ether,ethereum,18,331414.3266858072
2021-11-27,13699124,ether,ethereum,18,331678.61527393194
2021-11-28,13705380,ether,ethereum,18,332181.9079701413
2021-11-29,13711587,ether,ethereum,18,333651.29805690655
2021-11-30,13717846,ether,ethereum,18,329765.8760959874
2021-12-01,13724083,ether,ethereum,18,330204.26967866014
2021-12-02,13730329,ether,ethereum,18,330533.61283190537
2021-12-03,13736623,ether,ethereum,18,331413.4120845423
2021-12-04,13742800,ether,ethereum,18,315204.00512892305
2021-12-05,13749028,ether,ethereum,18,315957.911438928
2021-12-06,13755301,ether,ethereum,18,317780.9770421233
2021-12-07,13761567,ether,ethereum,18,319358.89431714645
2021-12-08,13767792,ether,ethereum,18,323227.66059933184
2021-12-09,13774074,ether,ethereum,18,323862.82559608034
2021-12-10,13780501,ether,ethereum,18,324963.3208440915
2021-12-11,13786989,ether,ethereum,18,325847.90957190975
2021-12-12,13793512,ether,ethereum,18,326566.02201301785
2021-12-13,13799998,ether,ethereum,18,326691.11861127894
2021-12-14,13806389,ether,ethereum,18,327121.61495836265
2021-12-15,13812867,ether,ethereum,18,328151.832309344
2021-12-16,13819264,ether,ethereum,18,328177.0385625504
2021-12-17,13825732,ether,ethereum,18,328531.0139938792
2021-12-18,13832240,ether,ethereum,18,328701.1573247452
2021-12-19,13838693,ether,ethereum,18,329732.01871403016
2021-12-20,13845238,ether,ethereum,18,333490.92362339946
2021-12-21,13851680,ether,ethereum,18,334074.8728559343
2021-12-22,13858106,ether,ethereum,18,336244.52060518786
2021-12-23,13864521,ether,ethereum,18,337183.28694161423
2021-12-24,13870989,ether,ethereum,18,337667.5524562492
2021-12-25,13877449,ether,ethereum,18,338916.33025323047
2021-12-26,13883916,ether,ethereum,18,335215.79428410134
2021-12-27,13890393,ether,ethereum,18,335736.76014477253
2021-12-28,13896835,ether,ethereum,18,337066.85129316035
2021-12-29,13903354,ether,ethereum,18,338158.66340105
2021-12-30,13909786,ether,ethereum,18,340375.49458695325
2021-12-31,13916165,ether,ethereum,18,342512.96252180246
2022-01-01,13922671,ether,ethereum,18,346034.97745236516
2022-01-02,13929166,ether,ethereum,18,346704.4698163441
2022-01-03,13935627,ether,ethereum,18,352374.82805725286
